STE_NAME21,Year12_rate
Queensland,84.0
Queensland,85.0
Queensland,89.0
Queensland,92.0
Queensland,85.0
Queensland,82.0
Queensland,89.0
Queensland,90.0
Queensland,87.0
Queensland,84.0
Queensland,88.0
Queensland,88.0
Queensland,78.0
Queensland,82.0
Queensland,87.0
Queensland,87.0
Queensland,85.0
South Australia,85.0
South Australia,80.0
South Australia,95.0
South Australia,82.0
South Australia,78.0
South Australia,83.0
South Australia,93.0
South Australia,90.0
South Australia,97.0
South Australia,92.0
South Australia,92.0
South Australia,93.0
South Australia,89.0
South Australia,85.0
South Australia,96.0
South Australia,87.0
South Australia,85.0
South Australia,88.0
Western Australia,77.0
Western Australia,82.0
Western Australia,72.0
Western Australia,67.0
Western Australia,77.0
Western Australia,77.0
Western Australia,73.0
Western Australia,76.0
Western Australia,82.0
Western Australia,88.0
Western Australia,85.0
Western Australia,75.0
Western Australia,81.0
Western Australia,87.0
Western Australia,78.0
Western Australia,83.0
Western Australia,79.0
Western Australia,85.0
Western Australia,78.0
Western Australia,71.0
Western Australia,79.0
Western Australia,82.0
Western Australia,75.0
Western Australia,79.0
Tasmania,60.0
Tasmania,50.0
Tasmania,58.0
Tasmania,68.0
Tasmania,60.0
Tasmania,51.0
Tasmania,57.0
Tasmania,64.0
Tasmania,67.0
Tasmania,56.0
Tasmania,73.0
Tasmania,68.0
Tasmania,59.0
Tasmania,64.0
Tasmania,62.0
Tasmania,58.0
Tasmania,57.0
Tasmania,70.0
Tasmania,64.0
Tasmania,55.0
Tasmania,61.0
Northern Territory,66.0
Northern Territory,27.0
Northern Territory,72.0
Northern Territory,62.0
Northern Territory,20.0
Northern Territory,48.0
Northern Territory,78.0
Northern Territory,27.0
Northern Territory,82.0
Northern Territory,73.0
Northern Territory,23.0
Northern Territory,55.0
Northern Territory,72.0
Northern Territory,27.0
Northern Territory,77.0
Northern Territory,67.0
Northern Territory,22.0
Northern Territory,51.0
Australian Capital Territory,79.0
Australian Capital Territory,81.0
Australian Capital Territory,81.0
